xia_01|鳳凰女帝|金殿王座
sg_02|宋朝點茶瓷影|文人雅集
sg_03|宋代採蓮仕女|江南荷塘
sg_04|宋詞尋尋覓覓|芭蕉夜雨
sg_05|宋代簪花仕女|汴京春色
sg_06|宋朝燒香聽琴|書齋幽閣
sg_07|宋代羅裙踏青|曲水流觴
mg_01|明代馬面裙影|蘇州園林
mg_02|明制雲肩貴女|雕花門樓
mg_03|明代襖裙刺繡|金陵雪景
mg_04|明代鳳冠霞帔|十里紅妝
mg_05|明制披風提燈|秦淮夜市
mg_06|明代長衫尋幽|竹林深處
mg_07|明代祭月佳人|亭台望月
qg_01|清宮雪夜格格|紅牆雪景
qg_02|清代點翠頭面|鳳冠霞帔
qg_03|清宮旗裝踏雪|紫禁御園
qg_04|清代花簪仕女|王府幽家庭
qg_05|清代漢裝麗人|揚州瘦西湖
qg_06|清宮春日放鳶|西苑草長
tk_01|大喬銅雀春深|江東喬木
tk_02|小喬夜聽周郎|赤壁琴音
tk_03|貂蟬閉月弄影|連環計成
tk_04|甄姬洛神賦歸|洛水驚鴻
tk_05|孫尚香梟姬歸心|江東弓弩
tk_06|步練師步步生蓮|吳宮溫婉
tk_07|蔡文姬胡笳十八|大漠孤煙
tk_08|祝融夫人刺刃|南蠻戰火
tk_09|黃月英木牛流馬|臥龍巧思
tk_10|關銀屏青龍女將|武聖血脈
tk_11|張星彩長坂守望|蜀漢巾幗
tk_12|樊氏傾國傾城|桂陽驚豔
tk_13|辛憲英識人斷代|魏晉先賢
tk_14|王異披甲上陣|西涼烈女
tk_15|甘夫人玉體皎潔|白玉美人
tk_16|糜夫人長坂托孤|亂世忠魂
tk_17|鮑三娘野嶺相逢|關家虎女
cl_01|林黛玉葬花|紅樓夢
cl_02|薛寶釵|紅樓金玉
cl_03|王熙鳳|鳳辣子
cl_04|妙玉|紅樓玄佛
cl_05|女兒國王|西遊女王
cl_06|白骨精|西遊三打
cl_07|鐵扇公主|西遊芭蕉
cl_08|觀世音菩薩|西遊佛法
cl_09|扈三娘|水滸女將
cl_10|孫二娘|水滸店主
cl_11|聶小倩|聊齋蘭若寺
cl_12|嬰寧|聊齋笑女
cl_13|胡三娘|聊齋狐女
cl_14|潘金蓮|水滸金蓮
cl_15|賈元春|紅樓貴妃
cd_01|白淺·三生三世|十里桃花
cd_02|甄嬛|甄嬛傳
cd_03|魏瓔珞|延禧攻略
cd_04|如懿|如懿傳
cd_05|花千骨|花千骨仙
cd_06|明蘭|知否知否
cd_07|趙盼兒|夢華錄
cd_08|小蘭花|蒼蘭訣
cd_09|小夭|長相思
cd_10|程少商|星漢燦爛
cd_11|霓凰郡主|瑯琊榜
cd_12|林婉兒|慶餘年
cd_13|薛芳菲|墨雨雲間
cd_14|謝曉夏|去有風的地方
cd_15|花芷|惜花芷
cd_16|素錦|三生三世素錦
cd_17|甄嬛·純元服|甄嬛穿純元服
cd_18|逐玉女主|逐玉主角
sd_01|魅魔·地獄誘惑|魔界女神
sd_02|魅魔·月下誘眠|夢境魅惑
sd_03|魅魔·玫瑰荊棘|荊棘玫瑰園
sd_04|魅魔·深海女王|深海魔域
sd_05|魅魔·赤焰舞姬|火焰魅舞
sd_06|魔王·冥界帝姬|地獄女皇
sd_07|魔王·暗焰征服者|征服黑暗
sd_08|魔王·混沌法師|混沌咒術
sd_09|魔王·鐵血帝國|黑鐵王朝
sd_10|魔王·靈魂收割者|奪魂使者
sd_11|魅魔·星海魅影|星辰誘惑
sd_12|魅魔·冰晶魔后|永恆冰封
sd_13|魅魔·紫電幻蝶|幻蝶魅舞
sd_14|魔王·黃金帝國|財富征服
sd_15|魅魔·暗夜獵手|黑暗捕獵
sd_16|魅魔·永夜呢喃|黑燭密語
sd_17|魅魔·深淵詠嘆|裂谷祭歌
sd_18|魅魔·荊棘血蓮|血蓮花境
sd_19|魅魔·幽冥白狐|狐火冥途
sd_20|魅魔·月華織夢|銀月夢網
sd_21|魅魔·極光流瑩|寒夜流光
sd_22|魅魔·寒霜怨靈|冰殿亡歌
sd_23|魅魔·狂瀾怒濤|黑海風暴
sd_24|魅魔·浮生若夢|鏡花幻境
sd_25|魅魔·傀儡提線|黑絲劇場
sd_26|魔王·黑城覺醒|黑城甦醒
sd_27|魔王·血月登城|血月戰場
sd_28|魔王·深淵召令|深淵咒陣
sd_29|魔王·雪原征服|冰雪征服
sd_30|魔王·烈焰王冠|熔岩王座
sd_31|魔王·禁書開封|禁忌書塔
sd_32|魔王·龍骨戰場|龍骸荒野
sd_33|魔王·夜港王令|黑港幽船
sd_34|魔王·月蝕婚禮|廢墟黑婚
sd_35|魔王·王城終焉|末日黑城
tw_01|台北101夜景|城市璀璨
tw_02|九份老街雨天|霧雨燈籠
tw_03|阿里山日出雲海|高山雲波
tw_04|日月潭湖景|晨霧湖光
tw_05|太魯閣峽谷|壯觀斷崖
tw_06|墾丁南灣海灘|南國陽光
tw_07|平溪天燈節|千燈升空
tw_08|野柳女王頭|奇岩地質
tw_09|淡水漁人碼頭夕陽|情人橋暮色
tw_10|台南赤崁樓|荷蘭古城
tw_11|花蓮海岸公路|太平洋大道
tw_12|清境農場|歐式高山草原
tw_13|合歡山雪景|台灣雪山
tw_14|高雄愛河夜景|浪漫河岸
tw_15|台東池上稻田|伯朗大道
tw_16|北投地熱谷|硫磺熱泉
tw_17|烏來溫泉瀑布|原住民山林
tw_18|澎湖玄武岩海岸|火山奇觀
tw_19|宜蘭冬山河|綠博童玩
tw_20|天空之鏡鹽田|夢幻倒影
wd_01|白鑽主角|純白耀眼
wd_02|玫瑰金婚紗|浪漫玫金
wd_03|法式宮廷婚紗|凡爾賽宮廷
wd_04|日式白無垢|和式純潔
wd_05|海灘婚紗|蔚藍海岸
wd_06|城堡婚紗|歐式古堡
wd_07|水晶教堂|璀璨光芒
wd_08|星空婚紗|銀河浪漫
wd_09|森林仙境婚紗|精靈仙境
wd_10|維多利亞婚紗|復古典雅
wd_11|東方鳳冠霞帔|中式大喜
wd_12|希臘女神婚紗|愛琴海畔
wd_13|冰雪女王婚紗|永恆冰宮
wd_14|歌劇院婚紗|奢華舞台
wd_15|花園禮堂婚紗|春日花盛
cos_01|雷電將軍|原神·稻妻女帝
cos_02|胡桃|原神·往生堂
cos_03|芙寧娜|原神·楓丹女神
cos_04|珊瑚宮心海|原神·稻妻海神
cos_05|納西妲|原神·草神
cos_06|禰豆子|鬼滅之刃
cos_07|甘露寺蜜璃|鬼滅之刃
cos_08|阿尼亞|SPY×FAMILY
cos_09|2B|尼爾：自動人形
cos_10|艾希|英雄聯盟
cos_11|亞絲娜|刀劍神域
cos_12|凱莎|英雄聯盟
cos_13|米卡莎|進擊的巨人
cos_14|宵宮|原神·稲妻
cos_15|魈|原神·岩角·風格COS
cos_16|千織|原神·楓丹時裝屋
ms_01|玉山日出雲海|台灣屋脊
ms_02|合歡山星空|銀河登頂
ms_03|太魯閣斷崖|大理石峽谷
ms_04|黃山雲海奇松|天下第一山
ms_05|西藏布達拉宮|雪域聖地
ms_06|冰島黑沙灘|瀑布玄武岩
ms_07|挪威峽灣|千仞絕壁
ms_08|峇里島海神廟夕陽|印度洋晚霞
ms_09|馬爾地夫水上屋|透明珊瑚海
ms_10|澳洲十二門徒岩|南大洋巨岩
ms_11|美國大峽谷|億年地層
ms_12|九寨溝五花海|彩虹湖色
ms_13|新西蘭米佛峽灣|南半球奇觀
ms_14|秘魯馬丘比丘|天空之城
ms_15|北極光雪原|極光奇蹟
